Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
3, 6 x hill, 3, 40 min tempo, Rest, 3, 90 min
3, 7 x 400 5-K pace, 3, 45 min tempo, Rest, 3 mi pace, 90 min
3, 7 x hill, 3, 30 min tempo, Rest, Rest, Race
3, 8 x 400 5-K pace, 3, 40 min tempo, Rest, 3, 90 min
3, 8 x hill, 3, 45 min tempo, Rest, 3 mi pace, 90 min
3, 8 x 400 5-K pace, 3, 30 min tempo, Rest, Rest, Race
3, 4 x 800 10-K pace, 3, 45 min tempo, Rest, 4 mi pace, 1:45
3, 3 x 1600 race pace, 3, 50 min tempo, Rest, 5 mi pace, 1:45
3, 5 x 800 10-K pace, 3, 30 min tempo, Rest, Rest, Race
3, 4 x 1600 race pace, 3, 55 min tempo, Rest, 5 mi pace, 2:00
3, 6 x 800 10-K pace, 3, 60 min tempo, Rest, 3 mi pace, 2:00
3, 6 x 400 5-K pace, 2, 30 min tempo, Rest, Rest, Half Marathon
